delta_generated_power1,delta_lambda1,delta_voltage1,dif_generated_power1,dif_lambda1,dif_myu_12,dif_myu_16,dif_myu_lower_p1,dif_myu_upper_p1,dif_voltage1,generated_power1,iteration1,lambda1,modified_dif_voltage1,myu12,myu16,myu_lower_p1,myu_upper_p1,original_generated_power1,original_lambda1,P_12,P_16,line12,line16,voltage1,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527595797.5076962
0,0.0,0.0,5.17,0,-1000,-150,0,-400,0,0,1,0.0,0,0.0,0.0,2.585,0,0,0.0,0,0,0,0,350.0,0.0007069110870361328,1527595807.529063
0,0.0,0.0,2.585,0.0,-1000.0,-150.0,0,-400,0.0,0,2,0.0,0.0,0.0,0.0,3.8775,0,0,0.0,0.0,0.0,0,0,350.0,0.0013575553894042969,1527595807.5419748
0,0.16666666666623087,-0.0011904761904588668,1.2925,16.666666666623087,-1000.0,-133.3333333333769,0,-400,0.0,0,3,0.16666666666623087,0.0,0.0,0.0,4.52375,0,0,0.16666666666623087,0.0,16.666666666623087,0,0,349.99880952380954,0.0011315345764160156,1527595807.5560994
0,0.19444444444509656,-0.001686507936540238,0.47958333333376935,23.611111111165428,-998.6111111111313,-124.9999999999659,0,-400,583.333333331808,0,4,0.36111111111132743,583.333333331808,0.0,0.0,4.763541666666884,0,0,0.36111111111132743,-1.388888888868678,25.000000000034106,0,0,349.997123015873,0.00034308433532714844,1527595807.569488
0,0.23206018518321747,-0.002017195767166413,0.04534722222178811,28.240740740528736,-997.916666666498,-119.6759259259693,0,-400,704.8611111089781,0,5,0.5931712962945449,704.8611111089781,0.0,0.0,4.786215277777778,0,0,0.5931712962945449,-2.083333333501969,30.324074074030705,0,0,349.99510582010583,0.0002372264862060547,1527595807.5844939
0,0.2613329475334928,-0.002262455908294214,-0.20938657407232297,31.674382716119,-997.7334104937938,-116.05902777767483,0,-400,775.752314787761,0,6,0.8545042438280377,775.752314787761,0.0,0.0,4.681521990741617,0,0,0.8545042438280377,-2.2665895062061736,33.94097222232517,0,0,349.99284336419754,0.00028967857360839844,1527595807.5960715
0,0.2794978137873685,-0.002448697457396065,-0.36602623456965455,34.28176440334596,-997.8298611111427,-113.54809670779673,0,-400,886.4776234452765,0,7,1.1340020576154062,886.4776234452765,0.0,0.0,4.49850887345679,0,0,1.1340020576154062,-2.170138888857309,36.45190329220327,0,0,349.99039466674014,0.004243135452270508,1527595807.611633
0,0.2889874828529386,-0.0025911152141020466,-0.462510931072196,36.2756129972297,-998.0582615311562,-111.78264853392648,0,-400,1032.7610596710165,0,8,1.4229895404683448,1032.7610596710165,0.0,0.0,4.267253407920692,0,0,1.4229895404683448,-1.9417384688438233,38.217351466073524,0,0,349.98780355152604,0.002122163772583008,1527595807.6247845
0,0.2926612020247126,-0.0027002983334796227,-0.520242948389037,37.80417666891367,-998.3330118312779,-110.5288351623642,0,-400,1195.327905301936,0,9,1.7156507424930574,1195.327905301936,0.0,0.0,4.007131933726174,0,0,1.7156507424930574,-1.6669881687221277,39.4711648376358,0,0,349.98510325319256,0.0021941661834716797,1527595807.6385806
0,0.2927567409761762,-0.002784086086194293,-0.5527826762192314,38.97720520652115,-998.6076486382558,-109.63044343173465,0,-400,1358.2143552464931,0,10,2.0084074834692336,1358.2143552464931,0.0,0.0,3.7307405956165582,0,0,2.0084074834692336,-1.392351361744204,40.36955656826535,0,0,349.98231916710637,0.0029211044311523438,1527595807.6567142
