delta_generated_power2,delta_lambda2,delta_voltage2,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_upper_p2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_upper_p2,original_generated_power2,original_lambda2,P_21,P_23,line21,line23,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527587305.2025316
0,0.0,0.0,17.26,0,-2000,-25,0,-100,0,0,1,0.0,0,0.0,0.0,8.63,0,0,0.0,0,0,0,0,350.0,0.0011684894561767578,1527587315.2096562
0,0.0,0.0,8.63,0.0,-2000.0,-25.0,0,-100,0.0,0,2,0.0,0.0,0.0,0.0,12.945,0,0,0.0,0.0,0.0,0,0,350.0,0.6877071857452393,1527587315.9116774
0,0.9999999999934062,-0.0007142857142525827,4.315000000000001,9.999999999934062,-2000.0,-15.000000000065938,0,-100,0.0,0,3,0.9999999999934062,0.0,0.0,0.0,15.102500000000001,0,0,0.9999999999934062,0.0,9.999999999934062,0,0,349.99928571428575,0.002218484878540039,1527587315.9320138
0,0.5000000000165983,-0.0007142857143094261,1.1575000000065945,10.000000000133014,-1997.500000000116,-12.499999999982947,0,-100,6999.999999953843,0,4,1.5000000000100044,6999.999999953843,0.0,0.0,15.681250000003299,0,0,1.5000000000100044,-2.4999999998840394,12.500000000017053,0,0,349.99857142857144,0.0006721019744873047,1527587315.94388
0,0.624999999990905,-0.0007589285714288962,0.07874999998669807,10.625000000004547,-1996.249999999975,-10.624999999970441,0,-100,6125.000000133696,0,5,2.1250000000009095,6125.000000133696,0.0,0.0,15.720624999996648,0,0,2.1250000000009095,-3.750000000025011,14.375000000029559,0,0,349.9978125,0.003076791763305664,1527587315.9581795
0,0.6875000000066578,-0.0008035714286052098,-0.585624999997556,11.250000000075033,-1995.4687499999864,-9.218749999911324,0,-100,6125.000000011838,0,6,2.8125000000075673,6125.000000011838,0.0,0.0,15.42781249999787,0,0,2.8125000000075673,-4.531250000013642,15.781250000088676,0,0,349.9970089285714,0.002848386764526367,1527587315.9721968
0,0.7148437499774118,-0.0008398437499863576,-0.9803125000054358,11.757812499809006,-1994.921874999875,-8.164062500065938,0,-100,6453.1250000488435,0,7,3.527343749984979,6453.1250000488435,0.0,0.0,14.937656249995152,0,0,3.527343749984979,-5.0781250001250555,16.83593749993406,0,0,349.9961690848214,0.002612590789794922,1527587315.9855094
0,0.7246093750135625,-0.0008677455357428698,-1.2049999999801297,12.148437500002274,-1994.5214843749852,-7.373046874982947,0,-100,6863.281249813303,0,8,4.251953124998542,6863.281249813303,0.0,0.0,14.335156250005088,0,0,4.251953124998542,-5.478515625014779,17.626953125017053,0,0,349.9953013392857,0.0026798248291015625,1527587315.9991107
0,0.7255859374843743,-0.0008888462611480463,-1.3271093750036282,12.443847656072649,-1994.223632812492,-6.779785156419393,0,-100,7263.183593720467,0,9,4.977539062482916,7263.183593720467,0.0,0.0,13.671601562503273,0,0,4.977539062482916,-5.776367187507958,18.220214843580607,0,0,349.9944124930245,0.0014295578002929688,1527587316.0112348
0,0.568547119153453,-0.0009047154018162473,-1.3891406249861875,12.666015625029559,-1994.0008544923273,-6.334838867297776,0,-100,9772.762206893043,0,10,5.546086181636369,9772.762206893043,0.0,0.0,12.97703125001018,0,0,5.546086181636369,-5.999145507672665,18.665161132702224,0,0,349.9935077776227,0.0036156177520751953,1527587316.0253143
0,0.2812455046290081,-0.0007985861641941483,-1.2631174316465472,11.180206298718076,-1992.1813354491746,-6.001129150456563,0,-100,11714.85175339919,0,11,5.827331686265377,11714.85175339919,0.0,0.0,12.345472534186907,0,0,5.827331686265377,-7.8186645508253605,18.998870849543437,0,0,349.9927091914585,0.0019407272338867188,1527587316.0381074
0,0.17684247492777683,-0.0007247408273087785,-0.9128042204522826,10.146371581924996,-1990.4840714721672,-5.33769989024222,0,-100,11729.125565706123,0,12,6.004174161193154,11729.125565706123,0.0,0.0,11.889070423960765,0,0,6.004174161193154,-9.515928527832784,19.66230010975778,0,0,349.9919844506312,0.003459453582763672,1527587316.0529332
0,0.09673012462532249,-0.0006447996867109396,-0.6332445851539177,9.027195614152106,-1988.577584362531,-4.550388748378964,0,-100,11283.852115058427,0,13,6.100904285818476,11283.852115058427,0.0,0.0,11.572448131383807,0,0,6.100904285818476,-11.42241563746893,20.449611251621036,0,0,349.9913396509445,0.0016307830810546875,1527587316.0657165
